Date,High,Low,Open,Close,Volume,Adj Close
2019-04-22,7746.75,7669.75,7715.25,7734.75,393586.0,7734.75
2019-04-23,7843.75,7724.5,7738.0,7838.0,253668.0,7838.0
2019-04-24,7852.75,7802.25,7833.5,7847.75,427149.0,7847.75
2019-04-25,7879.5,7792.0,7855.25,7798.5,387633.0,7798.5
2019-04-26,7845.5,7755.5,7799.25,7840.25,488329.0,7840.25
2019-04-29,7867.75,7805.5,7837.25,7813.75,467051.0,7813.75
2019-04-30,7857.0,7740.0,7805.25,7800.0,320324.0,7800.0
2019-05-01,7867.25,7736.0,7848.75,7756.5,463833.0,7756.5
2019-05-02,7805.0,7682.25,7737.75,7734.25,484406.0,7734.25
2019-05-03,7872.5,7734.75,7739.0,7865.0,592822.0,7865.0
2019-05-06,7817.5,7667.5,7810.0,7803.5,454088.0,7803.5
2019-05-07,7804.0,7581.25,7744.75,7674.0,630196.0,7674.0
2019-05-08,7698.0,7600.0,7663.75,7647.5,838952.0,7647.5
2019-05-09,7644.5,7481.0,7639.75,7595.25,621509.0,7595.25
2019-05-10,7654.5,7435.75,7591.0,7610.25,741216.0,7610.25
2019-05-13,7551.5,7305.0,7534.25,7314.75,802652.0,7314.75
2019-05-14,7459.5,7290.0,7315.25,7421.0,773473.0,7421.0
2019-05-15,7538.5,7353.75,7429.25,7529.25,547769.0,7529.25
2019-05-16,7641.0,7473.5,7524.25,7600.25,535915.0,7600.25
2019-05-17,7620.0,7506.5,7600.75,7511.5,525588.0,7511.5
2019-05-20,7559.25,7361.5,7514.75,7391.75,626777.0,7391.75
2019-05-21,7485.25,7400.75,7408.25,7464.0,634294.0,7464.0
2019-05-22,7475.0,7391.25,7462.75,7430.0,436744.0,7430.0
2019-05-23,7434.75,7268.0,7430.75,7311.0,455678.0,7311.0
2019-05-24,7379.75,7300.5,7316.75,7315.5,640165.0,7315.5
2019-05-28,7371.75,7280.25,7315.5,7295.25,407810.0,7295.25
2019-05-29,7296.0,7183.25,7291.5,7216.0,528983.0,7216.0
2019-05-30,7271.25,7208.5,7214.75,7255.25,568052.0,7255.25
2019-05-31,7256.0,7129.25,7251.75,7133.5,403475.0,7133.5
2019-06-03,7132.5,6941.25,7110.0,6993.75,540433.0,6993.75
2019-06-04,7186.5,6981.75,7008.75,7179.25,771723.0,7179.25
2019-06-05,7245.25,7150.25,7189.0,7228.5,565396.0,7228.5
2019-06-06,7299.25,7181.0,7213.75,7282.25,534798.0,7282.25
2019-06-07,7453.0,7257.75,7266.5,7419.5,433916.0,7419.5
2019-06-10,7578.5,7431.25,7469.0,7515.5,484835.0,7515.5
2019-06-11,7600.75,7492.75,7519.5,7518.25,463884.0,7518.25
2019-06-12,7531.0,7461.0,7517.75,7473.25,461725.0,7473.25
2019-06-13,7536.0,7421.0,7476.0,7522.75,388858.0,7522.75
2019-06-14,7520.75,7451.5,7503.25,7478.25,396174.0,7478.25
2019-06-17,7550.75,7476.0,7481.0,7534.25,254822.0,7534.25
2019-06-18,7693.5,7514.75,7542.25,7645.25,184038.0,7645.25
2019-06-19,7685.75,7601.75,7641.0,7674.25,209971.0,7674.25
2019-06-20,7793.0,7660.0,7668.0,7745.25,112587.0,7745.25
2019-06-21,7743.25,7701.5,7737.0,7723.60986328125,101514.0,7723.60986328125
2019-06-24,7794.25,7731.75,7744.5,7758.75,379078.0,7758.75
2019-06-25,7779.5,7609.5,7753.0,7628.75,260978.0,7628.75
2019-06-26,7719.0,7616.25,7633.0,7650.0,424811.0,7650.0
2019-06-27,7716.5,7640.75,7641.0,7690.5,376979.0,7690.5
2019-06-28,7726.0,7664.0,7685.25,7693.75,300152.0,7693.75
2019-07-01,7849.75,7759.0,7781.5,7790.0,310126.0,7790.0
