rollcall_id,roll_num,date,bill_id,question,result,description,year,congress,session
2019:173,173,1-May,H.RES.329,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 9) to direct the President to develop a plan for the United States to meet its nationally determined contribution under the Paris Agreement, and for other purposes",2019,116,1
2019:174,174,1-May,H.RES.304,On Motion to Table,P,Raising a question of the privileges of the House,2019,116,1
2019:175,175,2-May,H.R.9,On Agreeing to the Amendment,A,Espaillat of New York Amendment No. 2,2019,116,1
2019:176,176,2-May,H.R.9,On Agreeing to the Amendment,F,Gosar of Arizona Amendment No. 10,2019,116,1
2019:177,177,2-May,H.R.9,On Agreeing to the Amendment,F,Gosar of Arizona Amendment No. 11,2019,116,1
2019:178,178,2-May,H.R.9,On Agreeing to the Amendment,A,Porter of California Amendment No. 19,2019,116,1
2019:179,179,2-May,H.R.9,On Agreeing to the Amendment,A,Fletcher of Texas Amendment No. 22,2019,116,1
2019:180,180,2-May,H.R.9,On Agreeing to the Amendment,A,Schrier of Washington Amendment No. 24,2019,116,1
2019:181,181,2-May,H.R.9,On Agreeing to the Amendment,A,Van Drew of New Jersey Amendment No. 26,2019,116,1
2019:182,182,2-May,H.R.9,On Agreeing to the Amendment,A,Engel of New York Amendment No. 29,2019,116,1
2019:183,183,2-May,H.R.9,On Motion to Recommit with Instructions,F,Climate Action Now Act,2019,116,1
2019:184,184,2-May,H.R.9,On Passage,P,Climate Action Now Act,2019,116,1
2019:185,185,7-May,H.RES.273,On Motion to Suspend the Rules and Agree,P,Reaffirming the United States commitment to Taiwan and to the implementation of the Taiwan Relations Act,2019,116,1
2019:186,186,7-May,H.R.1704,On Motion to Suspend the Rules and Pass,P,Championing American Business Through Diplomacy Act,2019,116,1
2019:187,187,8-May,H.R.1503,"On Motion to Suspend the Rules and Pass, as Amended",P,Orange Book Transparency Act,2019,116,1
2019:188,188,8-May,H.R.1520,"On Motion to Suspend the Rules and Pass, as Amended",P,Purple Book Continuity Act,2019,116,1
2019:189,189,9-May,H.RES.357,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 986) Protecting Americans with Preexisting Conditions Act, and providing for consideration of the bill (H.R. 2157) making supplemental appropriations for fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:190,190,9-May,H.RES.357,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 986) Protecting Americans with Preexisting Conditions Act, and providing for consideration of the bill (H.R. 2157) making supplemental appropriations for fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:191,191,9-May,H.R.986,On Agreeing to the Amendment,A,Brown of Maryland Part A Amendment No. 2,2019,116,1
2019:192,192,9-May,H.R.986,On Agreeing to the Amendment,F,Holding of North Carolina Part A Amendment No. 7,2019,116,1
2019:193,193,9-May,H.R.986,On Agreeing to the Amendment,A,Malinowski of New Jersey Part A Amendment No. 11,2019,116,1
2019:194,194,9-May,H.R.986,On Agreeing to the Amendment,A,Wild of Pennsylvania Part A Amendment No. 12,2019,116,1
2019:195,195,9-May,H.R.986,On Motion to Recommit with Instructions,F,Protecting Americans with Preexisting Conditions Act,2019,116,1
2019:196,196,9-May,H.R.986,On Passage,P,Protecting Americans with Preexisting Conditions Act,2019,116,1
2019:197,197,10-May,H.R.2157,On Agreeing to the Amendment,A,Perlmutter of Colorado Part C Amendment No. 1,2019,116,1
2019:198,198,10-May,H.R.2157,On Agreeing to the Amendment,A,Sablan of Northern Mariana Islands Part C Amendment No. 3,2019,116,1
2019:199,199,10-May,H.R.2157,On Agreeing to the Amendment,A,Huffman of California Part C Amendment No. 6,2019,116,1
2019:200,200,10-May,H.R.2157,On Agreeing to the Amendment,A,Fletcher of Texas Part C Amendment No. 8,2019,116,1
2019:201,201,10-May,H.R.2157,On Motion to Recommit with Instructions,F,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:202,202,10-May,H.R.2157,On Passage,P,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:203,203,14-May,H.R.299,"On Motion to Suspend the Rules and Pass, as Amended",P,Blue Water Navy Vietnam Veterans Act,2019,116,1
2019:204,204,14-May,H.R.2379,"On Motion to Suspend the Rules and Pass, as Amended",P,To reauthorize the Bulletproof Vest Partnership Grant Program.,2019,116,1
2019:205,205,15-May,H.RES.377,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 5) Equality Act, providing for consideration of the bill (H.R. 312) Mashpee Wampanoag Tribe Reservation Reaffirmation Act, and providing for consideration of (H.R. 987) Strengthening Health Care and Lowering Prescription Drug Costs Act",2019,116,1
2019:206,206,15-May,H.RES.377,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 5) Equality Act, providing for consideration of the bill (H.R. 312) Mashpee Wampanoag Tribe Reservation Reaffirmation Act, and providing for consideration of (H.R. 987) Strengthening Health Care and Lowering Prescription Drug Costs Act",2019,116,1
2019:207,207,15-May,H.R.312,On Passage,P,Mashpee Wampanoag Tribe Reservation Reaffirmation Act,2019,116,1
