rollcall_id,roll_num,date,bill_id,question,result,description,year,congress,session
2019:329,329,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Gosar of Arizona Part B Amendment No. 83,2019,116,1
2019:330,330,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Speier of California Part B Amendment No. 84,2019,116,1
2019:331,331,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Meadows of North Carolina Part B Amendment No. 85,2019,116,1
2019:332,332,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Lowey of New York Part B Amendment En Bloc No. 1,2019,116,1
2019:333,333,18-Jun,H.R.3253,"On Motion to Suspend the Rules and Pass, as Amended",P,"Empowering Beneficiaries, Ensuring Access, and Strengthening Accountability Act",2019,116,1
2019:334,334,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Grothman of Wisconsin Part B Amendment No. 87,2019,116,1
2019:335,335,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Walker of North Carolina Part B Amendment No. 89,2019,116,1
2019:336,336,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Palmer of Alabama Part B Amendment No. 91,2019,116,1
2019:337,337,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Arrington of Texas Part B Amendment No. 94,2019,116,1
2019:338,338,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Banks of Indiana Part B Amendment No. 98,2019,116,1
2019:339,339,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Lowey of New York Part A Amendment En Bloc No. 1,2019,116,1
2019:340,340,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Allen of Georgia Part A Amendment No. 2,2019,116,1
2019:341,341,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Visclosky of Indiana Part A Amendment En Bloc No. 2,2019,116,1
2019:342,342,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Langevin of Rhode Island Part A Amendment No. 13,2019,116,1
2019:343,343,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Langevin of Rhode Island Part A Amendment No. 15,2019,116,1
2019:344,344,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Brown of Maryland Part A Amendment No. 21,2019,116,1
2019:345,345,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Amash of Michigan Part A Amendment No. 24,2019,116,1
2019:346,346,18-Jun,H.R.2740,On Agreeing to the Amendment,A,"Kuster of New Hampshire Part A Amendment No. 34, as modified",2019,116,1
2019:347,347,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Visclosky of Indiana Part A Amendment No. 38,2019,116,1
2019:348,348,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Visclosky of Indiana Part A Amendment No. 40,2019,116,1
2019:349,349,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Ted Lieu of California Part A Amendment No. 44,2019,116,1
2019:350,350,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Gallagher of Wisconsin Part A Amendment No. 45,2019,116,1
2019:351,351,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Gallagher of Wisconsin Part A Amendment No. 47,2019,116,1
2019:352,352,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Blunt Rochester of Delaware Part A Amendment No. 50,2019,116,1
2019:353,353,18-Jun,H.R.2740,On Agreeing to the Amendment,F,Jayapal of Washington Part A Amendment No. 51,2019,116,1
2019:354,354,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Crow of Colorado Part A Amendment No. 59,2019,116,1
2019:355,355,18-Jun,H.R.2740,On Agreeing to the Amendment,A,Cox of California Part A Amendment No. 61,2019,116,1
2019:356,356,19-Jun,H.RES.445,On Ordering the Previous Question,P,"Providing for consideration of H.R. 3055, relating to consideration of H.R. 2740, and providing for proceedings during the period from June 28, 2019, through July 8, 2019",2019,116,1
2019:357,357,19-Jun,H.RES.445,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 3055, relating to consideration of H.R. 2740, and providing for proceedings during the period from June 28, 2019, through July 8, 2019",2019,116,1
2019:358,358,19-Jun,H.R.2740,On Agreeing to the Amendment,F,Burgess of Texas Part A Amendment No. 63,2019,116,1
2019:359,359,19-Jun,H.R.2740,On Agreeing to the Amendment,F,Burgess of Texas Part A Amendment No. 64,2019,116,1
2019:360,360,19-Jun,H.R.2740,On Agreeing to the Amendment,A,Kaptur of Ohio Part A Amendment En Bloc No. 3,2019,116,1
2019:361,361,19-Jun,H.R.2740,On Agreeing to the Amendment,A,Kaptur of Ohio Part A Amendment En Bloc No. 4,2019,116,1
2019:362,362,19-Jun,H.R.2740,On Agreeing to the Amendment,F,Mullin of Oklahoma Part A Amendment No. 89,2019,116,1
2019:363,363,19-Jun,H.R.2740,On Agreeing to the Amendment,A,Huffman of California Part A Amendment No. 90,2019,116,1
2019:364,364,19-Jun,H.R.2740,On Agreeing to the Amendment,F,Graves of Louisiana Part A Amendment No. 91,2019,116,1
2019:365,365,19-Jun,H.R.2740,On Agreeing to the Amendment,F,Banks of Indiana Part A Amendment No. 97,2019,116,1
2019:366,366,19-Jun,H.R.2740,On Motion to Recommit,F,"Making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September 30, 2020, and for other purposes",2019,116,1
2019:367,367,19-Jun,H.R.2740,On Passage,P,"Making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September 30, 2020, and for other purposes",2019,116,1
2019:368,368,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Rutherford of Florida Part B Amendment No. 3,2019,116,1
2019:369,369,20-Jun,H.R.3055,On Agreeing to the Amendment,F,King of Iowa Part B Amendment No. 9,2019,116,1
2019:370,370,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Blumenauer of Oregon Part B Amendment No. 17,2019,116,1
2019:371,371,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Banks of Indiana Part B Amendment No. 36,2019,116,1
2019:372,372,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Golden of Maine Part B Amendment No. 70,2019,116,1
2019:373,373,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Stevens of Michigan Part B Amendment No. 85,2019,116,1
2019:374,374,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Underwood of Illinois Part B Amendment No. 89,2019,116,1
2019:375,375,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Banks of Indiana Part B Amendment No. 99,2019,116,1
2019:376,376,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Pence of Indiana Part B Amendment No. 105,2019,116,1
2019:377,377,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Spanberger of Virginia Part B Amendment No. 114,2019,116,1
2019:378,378,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Wasserman Schultz of Florida Part B Amendment No. 128,2019,116,1
2019:379,379,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Pallone of New Jersey Part B Amendment No. 132,2019,116,1
2019:380,380,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Buchanan of Florida Part B Amendment No. 133,2019,116,1
2019:381,381,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Duncan of South Carolina Part B Amendment No. 135,2019,116,1
2019:382,382,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Blumenauer of Oregon Part B Amendment No. 136,2019,116,1
2019:383,383,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Gosar of Arizona Part B Amendment No. 139,2019,116,1
2019:384,384,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Duncan of South Carolina Part B Amendment No. 143,2019,116,1
2019:385,385,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Mullin of Oklahoma Part B Amendment No. 147,2019,116,1
2019:386,386,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Mullin of Oklahoma Part B Amendment No. 148,2019,116,1
2019:387,387,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Graves of Louisiana Part B Amendment No. 158,2019,116,1
2019:388,388,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Hice of Georgia Part B Amendment No. 161,2019,116,1
2019:389,389,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Banks of Indiana Part B Amendment No. 163,2019,116,1
2019:390,390,20-Jun,H.R.3055,On Agreeing to the Amendment,F,Biggs of Arizona Part B Amendment No. 165,2019,116,1
2019:391,391,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Cunningham of South Carolina Part B Amendment No. 167,2019,116,1
2019:392,392,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Cunningham of South Carolina Part B Amendment No. 168,2019,116,1
2019:393,393,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Carbajal of California Part B Amendment No. 176,2019,116,1
2019:394,394,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Hill of California Part B Amendment No. 187,2019,116,1
2019:395,395,20-Jun,H.R.3055,On Agreeing to the Amendment,A,Schrier of Washington Part B Amendment No. 190,2019,116,1
2019:396,396,21-Jun,H.R.3055,On Agreeing to the Amendment,A,Bost of Illinois Part B Amendment No. 206,2019,116,1
2019:397,397,21-Jun,H.R.3055,On Agreeing to the Amendment,A,Golden of Maine Part B Amendment No. 220,2019,116,1
2019:398,398,21-Jun,H.R.3055,On Agreeing to the Amendment,A,McAdams of Utah Part B Amendment No. 221,2019,116,1
2019:399,399,24-Jun,H.R.3055,On Agreeing to the Amendment,A,DeFazio of Oregon Part B Amendment No. 233,2019,116,1
2019:400,400,24-Jun,H.R.3055,On Agreeing to the Amendment,F,Duncan of South Carolina Part B Amendment No. 234,2019,116,1
2019:401,401,24-Jun,H.R.3055,On Agreeing to the Amendment,F,Duncan of South Carolina Part B Amendment No. 235,2019,116,1
2019:402,402,24-Jun,H.R.3055,On Agreeing to the Amendment,F,Grothman of Wisconsin Part B Amendment No. 244,2019,116,1
2019:403,403,25-Jun,H.RES.460,On Ordering the Previous Question,P,"Providing for consideration of H.R. 2722, waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, and providing for consideration of H.R. 3351",2019,116,1
2019:404,404,25-Jun,H.RES.460,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 2722, waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, and providing for consideration of H.R. 3351",2019,116,1
2019:405,405,25-Jun,H.R.3055,On Agreeing to the Amendment,F,Banks of Indiana Part B Amendment No. 251,2019,116,1
2019:406,406,25-Jun,H.R.3055,On Agreeing to the Amendment,A,Jayapal of Washington Part B Amendment No. 268,2019,116,1
2019:407,407,25-Jun,H.R.3055,On Motion to Recommit with Instructions,F,"Making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2020, and for other purposes",2019,116,1
2019:408,408,25-Jun,H.R.3055,On Passage,P,"Making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2020, and for other purposes",2019,116,1
2019:409,409,25-Jun,H.RES.462,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 3401) making emergency supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:410,410,25-Jun,H.RES.462,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 3401) making emergency supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:411,411,25-Jun,H.R.3351,On Agreeing to the Amendment,F,King of Iowa Part B Amendment No. 3,2019,116,1
2019:412,412,25-Jun,H.R.3351,On Agreeing to the Amendment,A,Norton of District of Columbia Part B Amendment No. 4,2019,116,1
2019:413,413,25-Jun,H.R.3401,On Motion to Recommit with Instructions,F,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:414,414,25-Jun,H.R.3401,On Passage,P,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:415,415,26-Jun,H.R.3351,On Agreeing to the Amendment,F,Grothman of Wisconsin Part B Amendment No. 13,2019,116,1
2019:416,416,26-Jun,H.R.3351,On Agreeing to the Amendment,A,Quigley of Illinois Part B Amendment En Bloc No. 2,2019,116,1
2019:417,417,26-Jun,H.R.3351,On Agreeing to the Amendment,F,Banks of Indiana Part B Amendment No. 19,2019,116,1
2019:418,418,26-Jun,H.R.3351,On Agreeing to the Amendment,A,Suozzi of New York Part B Amendment No. 26,2019,116,1
2019:419,419,26-Jun,H.R.3351,On Agreeing to the Amendment,A,Lee of Nevada Part B Amendment No. 27,2019,116,1
2019:420,420,26-Jun,H.R.3351,On Agreeing to the Amendment,A,Dean of Pennsylvania Part B Amendment No. 32,2019,116,1
2019:421,421,26-Jun,H.R.3351,On Agreeing to the Amendment,A,Kim of New Jersey Part B Amendment No. 35,2019,116,1
2019:422,422,26-Jun,H.R.3351,On Agreeing to the Amendment,A,Malinowski of New Jersey Part B Amendment No. 40,2019,116,1
2019:423,423,26-Jun,H.R.3351,On Motion to Recommit with Instructions,P,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2020, and for other purposes",2019,116,1
2019:424,424,26-Jun,H.R.3351,On Passage,P,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2020, and for other purposes",2019,116,1
2019:425,425,27-Jun,H.RES.466,On Consideration of the Resolution,P,"Providing for consideration of the Senate amendment to the bill (H.R. 3401) making emergency supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:426,426,27-Jun,H.RES.466,On Agreeing to the Resolution,P,"Providing for consideration of the Senate amendment to the bill (H.R. 3401) making emergency supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:427,427,27-Jun,H.R.2722,On Motion to Recommit with Instructions,F,SAFE Act,2019,116,1
2019:428,428,27-Jun,H.R.2722,On Passage,P,SAFE Act,2019,116,1
2019:429,429,27-Jun,H.R.3401,On Motion to Concur in the Senate Amendment,P,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:430,430,27-Jun,JOURNAL,On Approving the Journal,P, ,2019,116,1
2019:431,431,9-Jul,H.R.2515,"On Motion to Suspend the Rules and Pass, as Amended",P,Whistleblower Protection Reform Act,2019,116,1
2019:432,432,9-Jul,H.R.3050,"On Motion to Suspend the Rules and Pass, as Amended",P,Expanding Investment in Small Businesses Act,2019,116,1
2019:433,433,9-Jul,H.R.2409,On Motion to Suspend the Rules and Pass,P,Expanding Access to Capital for Rural Job Creators Act,2019,116,1
2019:434,434,10-Jul,H.RES.476,On Ordering the Previous Question on the Amendment and the Resolution,P,"Providing for consideration of H.R. 2500, the National Defense Authorization Act for Fiscal Year 2020, and providing for consideration of motions to suspend the rules",2019,116,1
2019:435,435,10-Jul,H.RES.476,On Agreeing to the Amendment,A,McGovern of Massachusetts Amendment,2019,116,1
2019:436,436,10-Jul,H.RES.476,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 2500, the National Defense Authorization Act for Fiscal Year 2020, and providing for consideration of motions to suspend the rules",2019,116,1
2019:437,437,10-Jul,H.R.1044,"On Motion to Suspend the Rules and Pass, as Amended",P,Fairness for High-Skilled Immigrants Act,2019,116,1
2019:438,438,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Smith of Washington Part B Amendment No. 1,2019,116,1
2019:439,439,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Speier of California Part B Amendment No. 3,2019,116,1
2019:440,440,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Speier of California Part B Amendment No. 6,2019,116,1
2019:441,441,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Brindisi of New York Part B Amendment No. 9,2019,116,1
2019:442,442,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Torres of California Part B Amendment No. 10,2019,116,1
2019:443,443,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Connolly of Virginia Part B Amendment No. 11,2019,116,1
2019:444,444,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Shalala of Florida Part B Amendment No. 14,2019,116,1
2019:445,445,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Omar of Minnesota Part B Amendment No. 17,2019,116,1
2019:446,446,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Smith of Washington Part B Amendment No. 19,2019,116,1
2019:447,447,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Sherman of California Part B Amendment No. 21,2019,116,1
2019:448,448,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Lieu of California Part B Amendment No. 23,2019,116,1
2019:449,449,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Lieu of California Part B Amendment No. 24,2019,116,1
2019:450,450,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Smith of Washington Part B Amendment No. 26,2019,116,1
2019:451,451,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Cicilline of Rhode Island Part B Amendment No. 27,2019,116,1
2019:452,452,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Engel of New York Part B Amendment No. 29,2019,116,1
2019:453,453,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Engel of New York Part B Amendment No. 31,2019,116,1
2019:454,454,11-Jul,H.R.2500,On Agreeing to the Amendment,F,Blumenauer of Oregon Part B Amendment No. 32,2019,116,1
2019:455,455,11-Jul,H.R.2500,On Agreeing to the Amendment,F,Blumenauer of Oregon Part B Amendment No. 33,2019,116,1
2019:456,456,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Frankel of Florida Part B Amendment No. 34,2019,116,1
2019:457,457,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Ted Lieu of California Part B Amendment No. 44,2019,116,1
2019:458,458,11-Jul,H.R.2500,On Agreeing to the Amendment,A,Raskin of Maryland Part B Amendment No. 45,2019,116,1
2019:459,459,12-Jul,H.R.2500,On Agreeing to the Amendment,F,Lee of California Part B Amendment No. 49,2019,116,1
2019:460,460,12-Jul,H.R.2500,On Agreeing to the Amendment,F,Amash of Michigan Part B Amendment No. 50,2019,116,1
2019:461,461,12-Jul,H.R.2500,On Agreeing to the Amendment,A,Tipton of Colorado Part B Amendment No. 375,2019,116,1
2019:462,462,12-Jul,H.R.2500,On Agreeing to the Amendment,F,Turner of Ohio Part B Amendment No. 386,2019,116,1
2019:463,463,12-Jul,H.R.2500,On Agreeing to the Amendment,A,Khanna of California Part B Amendment No. 423,2019,116,1
2019:464,464,12-Jul,H.R.2500,On Agreeing to the Amendment,A,Lee of California Part B Amendment No. 424,2019,116,1
2019:465,465,12-Jul,H.R.2500,On Agreeing to the Amendment,A,Lee of California Part B Amendment No. 425,2019,116,1
2019:466,466,12-Jul,H.R.2500,On Agreeing to the Amendment,F,Garcia of Texas Part B Amendment No. 428,2019,116,1
2019:467,467,12-Jul,H.R.2500,On Agreeing to the Amendment,F,Ocasio-Cortez of New York Part B Amendment No. 429,2019,116,1
2019:468,468,12-Jul,H.R.2500,On Agreeing to the Amendment,F,Ocasio-Cortez of New York Part B Amendment No. 430,2019,116,1
2019:469,469,12-Jul,H.R.2500,On Agreeing to the Amendment,A,Thompson of Mississippi Part B Amendment No. 437,2019,116,1
2019:470,470,12-Jul,H.R.2500,On Agreeing to the Amendment,A,Malinowski of New Jersey Part B Amendment No. 438,2019,116,1
2019:471,471,12-Jul,H.R.2500,On Agreeing to the Amendment,A,Jayapal of Washington Part B Amendment No. 441,2019,116,1
2019:472,472,12-Jul,H.R.2500,On Motion to Recommit with Instructions,F,National Defense Authorization Act for Fiscal Year 2020,2019,116,1
2019:473,473,12-Jul,H.R.2500,On Passage,P,National Defense Authorization Act for Fiscal Year 2020,2019,116,1
2019:474,474,12-Jul,H.R.1327,"On Motion to Suspend the Rules and Pass, as Amended",P,"Never Forget the Heroes: James Zadroga, Ray Pfeifer, and Luis Alvarez Permanent Authorization of the September 11th Victim Compensation Fund Act",2019,116,1
2019:475,475,15-Jul,H.R.2744,On Motion to Suspend the Rules and Pass,P,USAID Branding Modernization Act,2019,116,1
2019:476,476,15-Jul,H.RES.432,"On Motion to Suspend the Rules and Agree, as Amended",P,Condemning the attacks on peaceful protesters and supporting an immediate peaceful transition to a civilian-led democratic government in Sudan,2019,116,1
2019:477,477,15-Jul,H.R.2037,"On Motion to Suspend the Rules and Pass, as Amended",P,Saudi Arabia Human Rights and Accountability Act,2019,116,1
2019:478,478,16-Jul,H.RES.491,On Ordering the Previous Question,P,"Providing for consideration of H.R. 3494, relating to the consideration of House Report 116-125 and an accompanying resolution, relating to the consideration of measures disapproving of sales, exports, or approvals pursuant to the Arms Export Control Act, and providing for consideration of H. Res. 489",2019,116,1
2019:479,479,16-Jul,H.RES.491,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 3494, relating to the consideration of House Report 116-125 and an accompanying resolution, relating to the consideration of measures disapproving of sales, exports, or approvals pursuant to the Arms Export Control Act, and providing for consideration of H. Res. 489",2019,116,1
2019:480,480,16-Jul,H.RES.489,On Motion to Strike Words from the Record,F,Condemning President Trumps racist comments directed at Members of Congress,2019,116,1
2019:481,481,16-Jul,H.RES.489,On Motion to Proceed in Order,P,Condemning President Trumps racist comments directed at Members of Congress,2019,116,1
2019:482,482,16-Jul,H.RES.489,On Agreeing to the Resolution,P,Condemning President Trumps racist comments directed at Members of Congress,2019,116,1
2019:483,483,17-Jul,H.RES.498,On Motion to Table,P,"Impeaching Donald John Trump, President of the United States, of high misdemeanors",2019,116,1
2019:484,484,17-Jul,H.RES.492,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 582) to provide for increases in the Federal minimum wage, and for other purposes",2019,116,1
2019:485,485,17-Jul,H.RES.492,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 582) to provide for increases in the Federal minimum wage, and for other purposes",2019,116,1
2019:486,486,17-Jul,S.J.RES.36,On Passage,P,"Providing for congressional disapproval of the proposed transfer to the Kingdom of Saudi Arabia, the United Kingdom of Great Britain, and Northern Ireland, the Kingdom of Spain, and the Italian Republic of certain defense articles and services",2019,116,1
2019:487,487,17-Jul,S.J.RES.37,On Passage,P,"Providing for congressional disapproval of the proposed export to the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland, and the Republic of France of certain defense articles and services",2019,116,1
2019:488,488,17-Jul,S.J.RES.38,On Passage,P,Providing for congressional disapproval of the proposed export to the Kingdom of Saudi Arabia and the United Kingdom of Great Britain and Northern Ireland of certain defense articles and services,2019,116,1
2019:489,489,17-Jul,H.RES.497,On Agreeing to the Resolution,P,"Recommending that the House of Representatives find William P. Barr, Attorney General of the United States, and Wilbur L. Ross, Jr., Secretary of Commerce, In Contempt of Congress for Refusal to Comply with Subpoenas Duly Issued by the Committee on Oversight and Reform",2019,116,1
2019:490,490,17-Jul,H.R.3494,On Agreeing to the Amendment,F,Chabot of Ohio Part B Amendment No. 7,2019,116,1
2019:491,491,17-Jul,H.R.3494,On Agreeing to the Amendment,A,Kennedy of Massachusetts Part B Amendment No. 11,2019,116,1
2019:492,492,17-Jul,H.R.3494,On Passage,P,"To authorize appropriations for fiscal year 2020 for intelligence and intelligence-related activities of the United States Government, the Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes",2019,116,1
2019:493,493,17-Jul,H.R.748,"On Motion to Suspend the Rules and Pass, as Amended",P,Middle Class Health Benefits Tax Repeal Act,2019,116,1
2019:494,494,18-Jul,H.R.582,On Agreeing to the Amendment,A,OHalleran of Arizona Part B Amendment No. 1,2019,116,1
2019:495,495,18-Jul,H.R.582,On Motion to Recommit with Instructions,F,Raise the Wage Act,2019,116,1
2019:496,496,18-Jul,H.R.582,On Passage,P,Raise the Wage Act,2019,116,1
2019:497,497,23-Jul,H.RES.246,"On Motion to Suspend the Rules and Agree, as Amended",P,"Opposing efforts to delegitimize the State of Israel and the Global Boycott, Divestment, and Sanctions Movement targeting Israel",2019,116,1
2019:498,498,23-Jul,H.R.549,"On Motion to Suspend the Rules and Pass, as Amended",F,Venezuela TPS Act,2019,116,1
2019:499,499,23-Jul,H.R.3304,"On Motion to Suspend the Rules and Pass, as Amended",P,"To exempt for an additional 4-year period, from the application of the means-test presumption of abuse under chapter 7, qualifying members of reserve components of the Armed Forces and members of the National Guard who, after September 11, 2001, are called to active duty or to perform a homeland defense activity",2019,116,1
2019:500,500,24-Jul,H.RES.509,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 397) Rehabilitation for Multiemployer Pensions Act of 2019; providing for consideration of the bill (H.R. 3239) Humanitarian Standards for Individuals in Customs and Border Protection Custody Act; and providing for proceedings from July 29, 2019 through September 6, 2019",2019,116,1
2019:501,501,24-Jul,H.RES.509,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 397) Rehabilitation for Multiemployer Pensions Act of 2019; providing for consideration of the bill (H.R. 3239) Humanitarian Standards for Individuals in Customs and Border Protection Custody Act; and providing for proceedings from July 29, 2019 through September 6, 2019",2019,116,1
2019:502,502,24-Jul,H.R.3375,"On Motion to Suspend the Rules and Pass, as Amended",P,Stopping Bad Robocalls Act,2019,116,1
2019:503,503,24-Jul,H.R.397,On Agreeing to the Amendment,F,Roe of Tennessee Part A Amendment No. 1,2019,116,1
2019:504,504,24-Jul,H.R.397,On Motion to Recommit with Instructions,F,Rehabilitation for Multiemployer Pensions Act,2019,116,1
2019:505,505,24-Jul,H.R.397,On Passage,P,Rehabilitation for Multiemployer Pensions Act,2019,116,1
2019:506,506,24-Jul,H.R.3239,On Motion to Recommit with Instructions,P,Humanitarian Standards for Individuals in Customs and Border Protection Custody Act,2019,116,1
2019:507,507,24-Jul,H.R.3239,On Passage,P,Humanitarian Standards for Individuals in Customs and Border Protection Custody Act,2019,116,1
2019:508,508,25-Jul,H.RES.519,On Ordering the Previous Question,P,Providing for consideration of the bill (H.R. 3877) the Bipartisan Budget Act of 2019; providing for consideration of the bill (H.R. 549) the Venezuela TPS Act of 2019; and waiving a requirement of clause 6(a) of Rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules,2019,116,1
2019:509,509,25-Jul,H.RES.519,On Agreeing to the Resolution,P,Providing for consideration of the bill (H.R. 3877) the Bipartisan Budget Act of 2019; providing for consideration of the bill (H.R. 549) the Venezuela TPS Act of 2019; and waiving a requirement of clause 6(a) of Rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules,2019,116,1
2019:510,510,25-Jul,H.R.693,"On Motion to Suspend the Rules and Pass, as Amended",P,PAST Act,2019,116,1
2019:511,511,25-Jul,H.R.3877,On Passage,P,Bipartisan Budget Act,2019,116,1
2019:512,512,25-Jul,H.R.3877,On Agreeing to the Massie of Kentucky Amendment to the Title,F,Bipartisan Budget Act,2019,116,1
2019:513,513,25-Jul,H.R.549,On Motion to Recommit with Instructions,F,Venezuela TPS Act,2019,116,1
2019:514,514,25-Jul,H.R.549,On Passage,P,Venezuela TPS Act,2019,116,1
2019:515,515,9-Sep,H.R.1420,"On Motion to Suspend the Rules and Pass, as Amended",P,Energy Efficient Government Technology Act,2019,116,1
2019:516,516,9-Sep,H.R.1768,On Motion to Suspend the Rules and Pass,P,Diesel Emissions Reduction Act,2019,116,1
2019:517,517,10-Sep,H.RES.548,On Ordering the Previous Question,P,Providing for consideration of the bill (H.R. 205) Protecting and Securing Floridas Coastline Act; providing for consideration of the bill (H.R. 1146) Arctic Cultural and Coastal Plain Protection Act; and providing for consideration of the bill (H.R. 1941) Coastal and Marine Economies Protection Act,2019,116,1
2019:518,518,10-Sep,H.RES.548,On Agreeing to the Resolution,P,Providing for consideration of the bill (H.R. 205) Protecting and Securing Floridas Coastline Act; providing for consideration of the bill (H.R. 1146) Arctic Cultural and Coastal Plain Protection Act; and providing for consideration of the bill (H.R. 1941) Coastal and Marine Economies Protection Act,2019,116,1
2019:519,519,10-Sep,H.R.2852,"On Motion to Suspend the Rules and Pass, as Amended",P,Homebuyer Assistance Act,2019,116,1
